from_entity,relationship_type,to_entity,source_id,confidence,governance_tier
GDPPE-SOLV-EPSON-S80600,MANUFACTURED_BY,MFG-EPSON,SRC-S001,High,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,PART_OF_SERIES,FAM-EPSON-SURECOLOR-S,SRC-S001,High,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,USES_PRINTHEAD,PH-EPSON-PRECISIONCORE-TFP,SRC-S001,High,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,MANUFACTURED_BY,MFG-EPSON,SRC-S004,High,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,PART_OF_SERIES,FAM-EPSON-SURECOLOR-S,SRC-S004,High,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,USES_PRINTHEAD,PH-EPSON-PRECISIONCORE-TFP,SRC-S004,High,Public_Verifiable
GDPPE-SOLV-ROLAND-RF640,MANUFACTURED_BY,MFG-ROLAND,SRC-S007,High,Public_Verifiable
GDPPE-SOLV-ROLAND-RF640,PART_OF_SERIES,FAM-ROLAND-VERSAEXPRESS,SRC-S007,High,Public_Verifiable
GDPPE-SOLV-ROLAND-RF640,USES_PRINTHEAD,PH-ROLAND-MIRRORED-DX,SRC-S007,High,Public_Verifiable
GDPPE-SOLV-MIMAKI-CJV300-160P,MANUFACTURED_BY,MFG-MIMAKI,SRC-S010,High,Public_Verifiable
GDPPE-SOLV-MIMAKI-CJV300-160P,PART_OF_SERIES,FAM-MIMAKI-CJV300,SRC-S010,High,Public_Verifiable
GDPPE-SOLV-MIMAKI-CJV300-160P,USES_PRINTHEAD,PH-MIMAKI-STAGGERED-PIEZO,SRC-S010,High,Public_Verifiable
GDPPE-SOLV-MUTOH-VJ1638X,MANUFACTURED_BY,MFG-MUTOH,SRC-S013,High,Public_Verifiable
GDPPE-SOLV-MUTOH-VJ1638X,PART_OF_SERIES,FAM-MUTOH-VALUEJET,SRC-S013,High,Public_Verifiable
GDPPE-SOLV-MUTOH-VJ1638X,USES_PRINTHEAD,PH-MUTOH-STAGGERED-1440,SRC-S013,High,Public_Verifiable
GDPPE-SOLV-EPSON-S60600,COMPETES_WITH,GDPPE-SOLV-ROLAND-RF640,SRC-S016,Medium,Public_Verifiable
GDPPE-SOLV-ROLAND-RF640,COMPETES_WITH,GDPPE-SOLV-MUTOH-VJ1638X,SRC-S016,Medium,Public_Verifiable
GDPPE-SOLV-ROLAND-RF640,COMPETES_WITH,GDPPE-SOLV-MIMAKI-CJV300-160P,SRC-S016,Medium,Public_Verifiable
GDPPE-SOLV-EPSON-S80600,SUCCEEDS,GDPPE-SOLV-EPSON-S60600,SRC-S004,Low,Public_Verifiable
